"Link,","FullName,","Position,",Organization
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA0NzM1OTM=,Andreas Hassellöf,CEO,Ombori
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2NTEwNTI=,Agha Azeem,Co-Founder @Agilerz Services & @ADSN,ADSN
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzMzM2Mjc=,Ali AlMohsen,CEO,AYEN
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNTIyNDI=,Roman Thaler,CEO,CODATIVITY Software Solutions LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTEzNzI=,Peter Tavener,Co-Founder,Beehive UAE
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5MDcwNjI=,Rajaram Khanolkar,Director Software Solutions,Equinox Software Solutions
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4MTYxOTQ=,Ali Asgar,Managing director,Stratify Digital
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk2ODcxMDE=,Primoz Kos,CTO,Arabian Creative Technologies
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNDYzNDE=,Abu Bakr Kamal,Head of Sales,Sanoflow
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyNjgzNjc=,Gaurav Dhar,Group CEO,Marshal Fintech Partners
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAyMDE0MjA=,Bastien Renault,Managing director,Altavant consulting
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAxNjk5OTg=,Muneer Abdullah,Head of Development-IT,Gulf Data International Co. LLC
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzA1NTM3ODk=,Danny Abla,CEO,Bankiom
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTIyNzE=,Karl Escritt,Chief Executive Officer,Like Digital & Partners
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTIwNTU=,Tariq El-Titi,Managing Director,Janus Ventures
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjkzOTI2NDU=,Henry Verkin,Partnership lead,Pyypl
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk5NDI0Mjc=,Mohammed Zaheer,CEO,IRIZID Fzco.
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMjk4NzUyMzA=,Ibrahim Colak,Founder and CEO,Mr Usta
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNjcxNDk=,David O'Sullivan,CEO,Karve
https://app.seamless-expo.com/event/seamless-middle-east-2024/person/RXZlbnRQZW9wbGVfMzAzNjc1OTk=,James Archibald,Excutive Director,Ultimate Access
