Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTA4MTA=,Ahmad Abu Qauod CEO Quality Business Solutions
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2NTUwMjc=,Houssam KHATIB CEO INFOTEC SYSTEMS
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI2NzIzNDQ=,Mohamed Aboud CEO G I E FOR EVENTS MANAGEMENT L.L.C
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTI5Mjk=,Haris Puthiyathope CEO M2H Infotech LLP
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNDUzMDY=,Nilesh Shah CEO Accely Group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMwMjEzNzU=,Ahmed Bugshan CEO HOI CIT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MjY4Njg=,Basim Zafar CEO Experts Vision Consulting
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTg4MzU=,SUJAS ALI CEO Aabasoft Technologies
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM0ODI2ODg=,Chintan Shah CEO Brainvire Infotech Inc
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzM1MjY=,Ziad Allan CEO Rise Consulting
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI5ODc=,Hajaj Alorainy CEO Integrated Solution Co.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNjU5MjY=,Paolo Checchi CEO Viche srl
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM4OTE0MTE=,Ahmed Fahmy CEO OneCard
