"Link,","FullName,","Position,","Country,","Organization,","Social,",Contacts
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTIzODY=,Sourabh Sharma,Founder,India,Filly Media Solutions - Marketing Agency,"",http://www.fillymedia.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI4MzAzMDc=,Rayan Alfaheid,CO-Founder & CEO,Saudi Arabia,Datalexing,"",DataLexing.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2Njg=,Mohammad Al-Razaz,Chief Executive Officer And Co-Founder,Saudi Arabia,OTO,no data,https://www.tryoto.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI4MjEzNDQ=,Moahmed Guidoum,Founder & CEO,United Arab Emirates,Logaritm,"",www.logaritm.ae
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUyMTc=,Yasser ALanazi,FOUNDER,Saudi Arabia,Nour Financial,no data,https://www.nourplus.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzQ2NTg=,Nehul Goradia,Cofounder,United Arab Emirates,Enabler One,https://www.linkedin.com/in/nehulgoradia,https://www.enabler.one
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzODk5NDE=,ASHFAQ AHMED,Founder & CEO,Malaysia,Islamic Dinar,"",https://www.islamicdinar.org
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzODM0MzI=,Samar Abdelhameed,Co-founder & Vice president,Saudi Arabia,Eshfaa,no data,www.eshfaa.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNjc5Mjk=,Mohammad Elsheikh,Founder & CEO,Saudi Arabia,Eshfaa,"",www.eshfaa.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNjAwMzg=,Abdulrahman Alnuaim,Founder,Saudi Arabia,Easy Drop,"",no data
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNTY2NjM=,Adnan Bagais,Founder & CEO,Saudi Arabia,WAKI,########,waki.sa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNDA4NDU=,Abdulrahman Bin Nujayfan,Co-founder & COO,Saudi Arabia,Mthmr,no data,https://www.mthmr.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjM3NjQ=,J V,Founder & MD,India,FinSecureLabs Private Limited,"",www.finsecurelabs.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODgwNTY=,Ahmed Abbas,Co-Founder & CEO,Saudi Arabia,Lamha | لمحة,########,https://www.getlamha.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODM4Mjg=,Qaisar Habib,Founder | CEO,United Kingdom,Zaawia Enterprises LTD,"",https://www.zaawia.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODA4MTY=,Shaikha Alseddiqi,Co-Founder,Bahrain,Action Labs,no data,https://beacons.ai/swaleftech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzkyMjU=,Ali Mojiz,"Co-Founder and Chief Analytics, Data Science and Technology Officer",United States,Data Pilot USA Inc,"",www.data-pilot.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjYyOTQ=,Azizjon Azimi,Founder,Saudi Arabia,zypl.ai,"",zypl.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjY2NTg=,Bushr Ahmad,Founder,Saudi Arabia,THAMEN,no data,https://2thaman.com/
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDY2Njg=,Abdul Aziz,Founder,United Arab Emirates,Digitalized,"",https://linktr.ee/azizdesigner
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTI2ODU=,Sheikh Saidy,Co-Founder,Bangladesh,Innovation source establishment for information technology and communications.,no data,""
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTI0ODU=,Ali Al Khaifi,Co-founder and COO,Oman,GAIM Technologies,no data,https://orki.ai/
