Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTIzODY=,Sourabh Sharma Founder Filly Media Solutions - Marketing Agency
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5NjYzNjA=,Prathish Sahadevan Founder Partnershyps Trade Consultancy
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI4MzAzMDc=,Rayan Alfaheid CO-Founder & CEO Datalexing
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzI2Njg=,Mohammad Al-Razaz Chief Executive Officer And Co-Founder OTO
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzczNDU=,Waleed Sadek CEO & Founder Paysky
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzM2MTU1MzU=,Rushabh Parekh Co founder Adarsh Medical Stores
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI5MzA0NTQ=,Danny Abla Founder/CEO Bankiom
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI4MjEzNDQ=,Moahmed Guidoum Founder & CEO Logaritm
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzUyMTc=,Yasser ALanazi FOUNDER Nour Financial
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzI1MzQ2NTg=,Nehul Goradia Cofounder Enabler One
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzODk5NDE=,ASHFAQ AHMED Founder & CEO Islamic Dinar
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzODM0MzI=,Samar Abdelhameed Co-founder & Vice president Eshfaa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNzQ5OTk=,tariq Al.almahdi founder/CEO Value Studio
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNzM3NDM=,Alaa Emam Co-founder Value Studio
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNjc5Mjk=,Mohammad Elsheikh Founder & CEO Eshfaa
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNjc1ODk=,Cagri Orcan CSO & Co-founder Akinon
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNjAwMzg=,Abdulrahman Alnuaim Founder Easy Drop
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNTY2NjM=,Adnan Bagais Founder & CEO WAKI
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNTAyMTM=,Saud Al rebdi Founder Techmal Financing Company
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNDU2MjI=,Mohammed Yousef Founder and CEO Excenology
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNDAzMjU=,Alharith Al Sheikh Founder & CEO Stark Brokers
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzNDA4NDU=,Abdulrahman Bin Nujayfan Co-founder & COO Mthmr
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMzcyNjI=,Majed Alahmadi CEO & Co-Founder Medle
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMzQxMTM=,Madhusudanan R Co-Founder and CEO M2P Fintech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjM3NjQ=,J V Founder & MD FinSecureLabs Private Limited
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjA4ODM=,Shaqran AlYahya Co-Founder & CEO Fintech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMDc1Mjk=,Mohammed Navaf Founder Mirfaq Digital
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODgxOTU=,Muhammed Saleem Founder and CEO Analystor Technologies Pvt Ltd
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODgwNTY=,Ahmed Abbas Co-Founder & CEO Lamha | لمحة
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODM4Mjg=,Qaisar Habib Founder | CEO Zaawia Enterprises LTD
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODA4MTY=,Shaikha Alseddiqi Co-Founder Action Labs
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzkyMjU=,"Ali Mojiz Co-Founder and Chief Analytics, Data Science and Technology Officer Data Pilot USA Inc"
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzkwODM=,Yousef Shamoun CEO & Co-Founder ZenHR
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzYwMTA=,Elaf AlKattan CEO/Co-Founder Sandlist
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzI2OTg=,Meet Dalal Cofounder Blazon FZ LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjYyOTQ=,Azizjon Azimi Founder zypl.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjY2NTg=,Bushr Ahmad Founder THAMEN
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDY2Njg=,Abdul Aziz Founder Digitalized
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDY0MTY=,Fiene Klemmer Founder Aurizion
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDQxOTQ=,Abdullah Aladwani Founder Weyanna
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTMyMzY=,Noman Ali Founder & CEO Inv-X Technologies Limited
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTI2ODU=,Sheikh Saidy Co-Founder Innovation source establishment for information technology and communications.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTI0ODU=,Ali Al Khaifi Co-founder and COO GAIM Technologies
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTE4OTU=,Sherif Aziz co-founder Subsbase
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODgwNDg=,Faisal Al Kuraibi Cofounder and CEO Enabill
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODczMzc=,Mostafa Alsiqilli Co-founder / Creative director Raining Cats Studio
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNTE5OTU=,David Saad Co-founder Deben TMS
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNTAzNTc=,Raj Vekariya Co-founder saasglobalhub
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNTA5Mzk=,Abed Alzain CoFounder SellEnvo
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMzEwMjQ=,Abdelrahman Galal Founder and CEO Awfar.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTU5MjQ=,Assaf Alakeel Founder SHIFT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMDY1OTM=,Sundar Natesan Co - Founder Zocket.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDUyMTM=,Osama Andijani Founder Startup
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDQ5NDI=,Moath Alaraj Founder &CEO Tipcode
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDM1MzE=,Amin Basalama Co-founder & CEO GuestNaApp
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDI3ODQ=,Ahmed Sobeih Founder & CEO Jeel Gate
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDE4MzA=,Mohamed Al Hallab Co founder - Marketing manager Glanza
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTgwNTc=,Hamza Abusitta CEO & Co-founder Reachware
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTgwNTM=,Haiyan Alsaiyed Founder and CEO Tokenizerly
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTMyNDE=,Vaibhav Dabhade CEO & Founder Anchanto
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTM1Njc=,Manuel De Vits Founder BizDev10X
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTE1MDM=,Mohammed Alzahrani Founder & CEO CARVIND
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTA0MzE=,Motasem Abukhousa Founder & CEO Misk Tax Consultant
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDQwOTQ=,Nada Elbarkouky Co-Founder InfoTraff
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDIyNDg=,abdulaziz aldakkan Co-Founder & CEO Truffle.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDAyOTU=,Nuha Hashem Cofounder Zywa (YC W22)
